airport_code,latitude,longitude,altitude,timezone,dst,olson_timezone
PIA,40.664203,-89.693258,660,-6.0,A,America/Chicago
ATW,44.257526,-88.507576,680,-6.0,A,America/Chicago
RST,43.908283,-92.500014,1317,-6.0,A,America/Chicago
CMI,40.03925,-88.278056,754,-6.0,A,America/Chicago
MHK,39.140972,-96.670833,1057,-6.0,A,America/Chicago
KGC,-35.713889,137.521389,24,9.5,O,Australia/Adelaide
HVB,-25.318889,152.880278,60,10.0,O,Australia/Brisbane
BSL,47.59,7.529167,885,1.0,E,Europe/Paris
DLU,25.649444,100.319444,6978,8.0,U,Asia/Chongqing
JHG,21.973914,100.759611,1815,8.0,U,Asia/Chongqing
MZV,4.048333,114.805,80,8.0,N,Asia/Kuala_Lumpur
SSH,27.977222,34.394722,143,2.0,N,Africa/Cairo
FKL,41.377874,-79.860362,1540,-5.0,A,America/New_York
NBO,-1.319167,36.9275,5327,3.0,N,Africa/Nairobi
SEU,-2.458056,34.8225,5080,3.0,U,Africa/Dar_es_Salaam
FTE,-50.280322,-72.053103,669,-3.0,N,America/Cordoba
ARM,-30.528056,151.617222,3556,10.0,O,Australia/Sydney
GJT,39.122413,-108.526735,4858,-7.0,A,America/Denver
SGU,37.090583,-113.593056,2941,-7.0,A,America/Denver
DWH,30.063746,-95.554276,152,-6.0,A,America/Chicago
S46,28.429977,-96.442859,10,-6.0,A,America/Chicago
SRQ,27.395444,-82.554389,30,-5.0,A,America/New_York
VNY,34.209811,-118.489972,802,-8.0,A,America/Los_Angeles
BDA,32.364042,-64.678703,12,-4.0,A,Atlantic/Bermuda
X21,28.622552,-80.83541,30,-5.0,A,America/New_York
MLI,41.448528,-90.507539,590,-6.0,A,America/Chicago
PFN,30.212083,-85.682806,20,-6.0,A,America/Chicago
HIR,-9.428,160.054789,28,11.0,U,Pacific/Guadalcanal
PPT,-17.556667,-149.611389,7,-10.0,U,Pacific/Tahiti
INU,-0.547458,166.9191,22,12.0,U,Pacific/Nauru
FUN,-8.525,179.196389,9,12.0,U,Pacific/Funafuti
OVB,55.012622,82.650656,365,7.0,N,Asia/Omsk
DWS,28.398,-81.57,340,-5.0,A,America/New_York
,55.89,10.62,1,1.0,E,Europe/Copenhagen
XKH,19.449997,103.158333,3445,7.0,U,Asia/Vientiane
HUI,16.401499,107.702614,48,7.0,U,Asia/Saigon
BIS,46.775842,-100.757931,1661,-6.0,A,America/Chicago
TEX,37.953759,-107.90848,9078,-7.0,A,America/Denver
INC,38.481944,106.009167,3600,8.0,U,Asia/Chongqing
HGN,19.301667,97.975,929,7.0,U,Asia/Bangkok
RAP,44.045278,-103.057222,3204,-7.0,A,America/Denver
CLD,33.0742,-117.1648,328,-8.0,A,America/Los_Angeles
FNT,42.965424,-83.743629,782,-5.0,A,America/New_York
DVO,7.125522,125.645778,59,8.0,N,Asia/Manila
FNC,32.697889,-16.774453,192,0.0,E,Europe/Lisbon
STM,-2.422431,-54.792789,198,-4.0,S,America/Boa_Vista
KOS,10.579686,103.636828,33,7.0,N,Asia/Phnom_Penh
YOA,64.698889,-110.614722,1540,-7.0,A,America/Edmonton
NPE,-39.465833,176.87,6,12.0,Z,Pacific/Auckland
LEV,-17.68333,178.83333,11,12.0,N,Pacific/Fiji
LXA,29.297778,90.911944,13136,8.0,U,Asia/Chongqing
RDD,40.509,-122.293389,504,-8.0,A,America/Los_Angeles
EUG,44.124583,-123.211972,374,-8.0,A,America/Los_Angeles
IDA,43.514556,-112.07075,4744,-7.0,A,America/Denver
MFR,42.374228,-122.8735,1335,-8.0,A,America/Los_Angeles
KBZ,-42.416668,173.68333,19,12.0,Z,Pacific/Auckland
RDM,44.254066,-121.149964,3077,-8.0,A,America/Los_Angeles
PCN,-41.348333,173.955278,60,12.0,Z,Pacific/Auckland
WDH,-22.486667,17.4625,5640,1.0,S,Africa/Windhoek
YWH,48.422778,-123.3875,0,-8.0,A,America/Vancouver
CXH,49.289722,-123.115833,0,-8.0,A,America/Vancouver
TNA,36.857214,117.215992,76,8.0,U,Asia/Chongqing
CZX,31.941667,119.711667,39,8.0,U,Asia/Chongqing
YBP,28.800278,104.544444,1000,8.0,U,Asia/Chongqing
TJM,57.189567,65.3243,378,6.0,N,Asia/Yekaterinburg
CAK,40.9160833,-81.4421944,1228,-5.0,A,America/New_York
HSV,34.6371944,-86.7750556,629,-6.0,A,America/Chicago
PKB,39.3451039,-81.4392031,858,-5.0,A,America/New_York
MGM,32.3006389,-86.3939722,221,-6.0,A,America/Chicago
TRI,36.4752222,-82.4074167,1519,-5.0,A,America/New_York
PAH,37.0602875,-88.7729583,410,-6.0,A,America/Chicago
KUF,53.5,50.15,0,4.0,N,Europe/Moscow
JIB,11.5472,43.1594,49,3.0,U,Africa/Djibouti
HAK,19.934856,110.458961,75,8.0,U,Asia/Chongqing
MFA,-7.913889,39.665,60,3.0,U,Africa/Dar_es_Salaam
FCA,48.310472,-114.256,2977,-7.0,A,America/Denver
,-7.75093364715576,38.2032814025878,60,3.0,U,Africa/Dar_es_Salaam
PGA,36.9261,-111.4483,4316,-7.0,A,America/Phoenix
UII,16.091667,-86.8875,10,-6.0,U,America/Tegucigalpa
SNV,4.554722,-61.144922,3585,-4.5,U,America/Caracas
MBS,43.532913,-84.079647,668,-5.0,A,America/New_York
BGM,42.208689,-75.979839,1636,-5.0,A,America/New_York
BGW,33.262539,44.234578,114,3.0,U,Asia/Baghdad
NNT,18.807914,100.783419,685,7.0,U,Asia/Bangkok
ROI,16.116761,103.773797,451,7.0,U,Asia/Bangkok
BFV,15.229539,103.253231,590,7.0,U,Asia/Bangkok
UNN,9.777622,98.585483,57,7.0,U,Asia/Bangkok
TDX,12.274572,102.318958,105,7.0,U,Asia/Bangkok
BLH,33.619167,-114.716889,399,-8.0,A,America/Los_Angeles
,33.785608,42.4412,618,3.0,U,Asia/Baghdad
,33.338053,43.597072,275,3.0,U,Asia/Baghdad
,33.940194,44.361583,161,3.0,U,Asia/Baghdad
CRK,15.185833,120.560278,484,8.0,N,Asia/Manila
SDK,5.900897,118.059486,46,8.0,N,Asia/Kuala_Lumpur
LXG,20.960556,101.4025,1968,7.0,U,Asia/Vientiane
ODY,20.6827,101.994,1380,7.0,N,Asia/Vientiane
SHE,41.3824,123.2901,198,8.0,U,Asia/Chongqing
DOY,37.2716,118.2819,86,8.0,U,Asia/Chongqing
MNI,16.791389,-62.193333,40,-4.0,N,America/Montserrat
